,phrase,lemmas
0,Los niños pintan con un lapiz azul en papel blanco.,EMPTY
1,El lobo quiere comerlo.,"lobo, querer, comer, lo"
2,Los niños juegan al corro.,"niños, jugar, corro"
3,El lobo quiere comer a los cabritillos.,"lobo, querer, comer, cabritillos"
4,El alcalde no quiso pagar al flautista.,"alcalde, no, querer, pagar, flautista"
5,Yo duermo en la cama.,EMPTY
6,Las tiró por la ventana.,"tirar, ventana"
7,El niño pesca un pez pequeñito.,"niño, pesca, un, pez, pequeñito"
8,Vi un topo en otoño.,"ver, un, topo, en, otoño"
9,Los cabritillos abren la puerta.,"cabritillos, abrir, puerta"
10,El torero mira al toro.,EMPTY
11,Los Reyes Magos van en camello.,"Reyes, mago, ir, camello"
12,Coge el tapón de la botella.,"coger, tapón, de, botella"
13,Mamá pato paseaba con sus hijos.,"mamá, pato, pasear, su, hijos"
14,Estos son los tres cerditos.,"este, ser, tres, cerditos"
15,Los dos niños corren mucho.,"dos, niños, correr, mucho"
16,Dos coches chocan en el cielo.,EMPTY
17,El bebé juega en el parquet.,"bebé, jugar, parquet"
18,Una señora viejecita les dio un borrador mágico.,"un, señora, viejecito, le, dar, un, borrador, mágico"
19,Papá nada en la piscina.,EMPTY
20,La abuela está en el armario.,EMPTY
21,El ogro bajó por la planta.,"ogro, bajar, planta"
22,Yo juego en el parque con el jabalí.,EMPTY
23,Juan bajó por la planta.,"juan, bajar, planta"
24,El niño se sube a las rocas.,"niño, se, subir, rocas"
25,La niña juega con las piedras.,EMPTY
26,El esquimal vive en un iglú.,EMPTY
27,Blancanieves corre al bosque,"Blancanieves, correr, bosque"
28,Yo duermo en la lavadora.,EMPTY
29,Pili ha metido un gol.,"Pili, haber, meter, un, gol"
30,Los pingüinos patinan en la nieve con gorros y bufandas.,"pingüinos, patinar, nieve, con, gorros, bufandas"
31,Los siete cabritillos juegan contentos.,"siete, cabritillos, jugar, contento"
32,El oso se sube al árbol.,"oso, se, subir, árbol"
33,El caracol Ramón no sabe como vestirse,"caracol, Ramó, no, saber, como, vestir, se"
34,Caperucita se entretuvo cogiendo flores para la abuelita.,"Caperucita, se, entretener, coger, flores, para, abuelita"
35,La perra tuvo cachorros.,"perra, tener, cachorros"
36,La pata es negra y peluda.,"pata, ser, negro, peludo"
37,Las abejas vuelan alrededor de la flor rosa.,EMPTY
38,Los seis cabritillos salen contentos.,"seis, cabritillos, salir, contento"
39,Los cabritillos no abren la puerta.,"cabritillos, no, abrir, puerta"
40,La ratita encuentra una moneda.,"ratita, encontrar, un, moneda"
41,Ramón me regaló una rosa roja.,"Ramón, me, regalar, un, rosa, rojo"
42,El señor Pondio cuida de los animals.,"señor, Pondio, cuidar, animales"
43,Corté el filete con tijeras.,"cortar, filete, con, tijeras"
44,El niño le da un regalo a la plancha.,"niño, le, dar, un, regalo, a, plancha"
45,El mayor hace una casa de piedra.,EMPTY
46,Mamá me dice hola por la mañana.,"mamá, me, decir, hola, por, mañana"
47,El gato mira el pez.,EMPTY
48,Rosa tiene ropa roja.,"Rosa, tener, ropa, rojo"
49,La jirafa corre en la selva.,EMPTY
50,El niño bebe en la botella.,"niño, beber, botella"
51,La niña juega con las fichas.,EMPTY
52,Niño va a la panadería.,EMPTY
53,El duende pintó de color amarillo la casa del caracol.,"duende, pintar, color, amarillo, casa, de, caracol"
54,Los niños juegan en la piscina.,"niño, jugar, piscina"
55,Abuelita qué boca grande tienes.,"abuelita, qué, boca, grande, tener"
56,La niña escribe en la arena.,"niña, escribir, arena"
57,El ogro tenía un arpa mágica.,"ogro, tener, un, arpa, mágico"
58,El niño mira las estrellas con el telescopio.,EMPTY
59,Me gustan las naranjas.,"me, gustar, naranjas"
60,Yo quiero jugar con el fuego.,EMPTY
61,El tren va por la vía.,"tren, ir, vía"
62,Luis está un poco loco.,"Luis, estar, un, poco, loco"
63,El chico flota con el churro.,EMPTY
64,Marcelina sale a buscarlos.,"Marcelina, salir, buscar, los"
65,El pájaro vuela por el cielo.,EMPTY
66,Yo duermo por el día.,"yo, dormir, día"
67,El mono piensa en un plátano.,EMPTY
68,La Luna está en el cielo.,"Luna, estar, cielo"
69,El niño juega con la pala y el cubo.,"niño, jugar, pala, cubo"
