,lemmas,real phrases,generated phrases
0,"wolf, eat, them",The wolf wants to eat them.,The wolf eats them
1,"children, go, school, by, plane",Children go to school by plane.,Children go to school by plane
2,"baby, walk, car",The baby walks in the car.,baby walk car
3,"Juan, find, a, castle",Juan found a castle.,Juan finds a castle
4,"dog, walk, collar",The dog walks with the collar.,The dog walks with a collar.
5,"want, to, go, bathroom",I want to go to the bathroom.,I want to go to the bathroom.
6,"cow, want, to, study, school",The cow wanted to study at school.,The cow wants to study at school.
7,"book, case, be, bag",The book and the case are in the bag.,The book is in the bag.
8,"little, goat, be, clock",The little goat is in the clock.,little goat be clock
9,"parrot, look, snail",The parrot looks at the snail.,The parrot looks at the snail.
10,"kids, be, happy",The kids were happy.,Kids be happy
11,"girl, listen, music",The girl listens to music.,girl listens to music
12,"bird, swim, sea",The bird swims in the sea.,The bird swims in the sea.
13,"pig, live, farm",The pig lives on the farm.,A pig lives on a farm.
14,"girls, run, kite",Girls run with the kite.,Girls run with a kite.
15,"silkworm, fall, love, with, her",The silkworm fell in love with her.,The silkworm fell in love with her.
16,"mom, duck, walk, her, children",Mom Duck walked with her children.,The duck walks her children to the mom
17,"girl, speak, phone",The girl speaks on the phone.,girl speaks on the phone
18,eat,I want to eat.,eat a lemon
19,"wolf, knock, door",The wolf knocks on the door.,wolf knocks on the door
20,"that, king, be, Russia",That king is from Russia.,The king be Russia
21,"dad, buy, supermarket",Dad buys at the supermarket.,Dad buys a supermarket.
22,"straw, house, break",The straw house breaks.,straw house broke
23,"dolphins, turtle, swim, sea",Dolphins and turtle swim in the sea.,Dolphins swim in the sea with a turtle.
24,"train, be, road",The train is on the road.,The train be on the road
25,"wolf, arrive, first",The wolf arrived first.,The wolf arrived first.
26,"boy, go, bakery",Boy goes to the bakery.,boy go to bakery
27,"girl, swing, swing",The girl swings on the swing.,girl swings
28,"mayor, want, to, pay, flutist, not",The mayor did not want to pay the flutist.,The mayor wants to pay the flutist not.
29,"children, play, boat, train",Children play with the boat and the train.,Children play on the train.
30,"bird, fly, sky",The bird flies through the sky.,The bird flies in the sky.
31,"grandma, be, closet",Grandma is in the closet.,Grandma be in the closet
32,"eat, melon, lemon",I want to eat melon and lemon.,eat melon lemon
33,"Dorita, live, a, farm, with, her, uncles",Dorita lived on a farm with her uncles and her little dog Totó.,Dorita lives on a farm with her uncles
34,"dragonfly, fly, lake",The dragonfly flies in the lake.,The dragon flies over the lake.
35,"wolf, sleep",The wolf slept.,wolf sleep
36,"girl, play, sheets",The girl plays with the sheets.,The girl plays with the sheets.
37,"children, play, pool",Children play in the pool.,Children play in the pool
38,"kids, recognize, dark, skin, of, wolf",The kids recognized the dark skin of the wolf.,The kids recognize the dark skin of wolf
39,"donkey, fall, mud",The donkey fell into the mud.,Donkey fell in the mud
40,"woman, pick, peaches, from, tree",The woman picks peaches from the tree with her basket.,The woman picked peaches from the tree.
41,"want, to, play, fire",I want to play with fire.,I want to play with fire
42,"woodcutter, catch, a, boar",The woodcutter caught a boar.,A woodcutter caught a boar
43,"girl, drink, a, milkshake, with, two, straws",The girl drinks a chocolate milkshake with two straws.,The girl drank a milkshake with two straws
44,"Juan, go, up, by, plant",Juan went up by the plant.,"Juan, go, up, by, plant"
45,"boy, walk, street",The boy walks on the street.,boy walks on the street
46,"Little Red Riding Hood, get, busy",Little Red Riding Hood got busy picking flowers for Granny.,Little Red Riding Hood gets busy
47,"children, play, corro",The children play at the corro.,children play on the corro
48,"two, cars, collide, street",Two cars collide on the street.,Two cars collide on the street.
49,"cock, sing, night",The cock sings at night.,Cock sing night
50,"frog, climb, branch",The frog climbed the branch.,The frog climbed the branch.
51,"mom, read, girl",Mom reads with the girl.,mom read girl
52,"Lolo, play, ball",Lolo plays with the ball.,Lolo plays with the ball
53,"Enrique, give, me, a, bouquet, of, roses",Enrique gave me a bouquet of roses.,Enrique gave me a bouquet of roses
54,"child, swim, pool",The child swims in the pool.,child swim in the pool
55,"an, old, lady, give, them, a, magic, eraser",An old lady gave them a magic eraser.,an old lady gives them a magic eraser
56,"change, it, not",I will not change it.,I change it not
57,"that, gentleman, walk, pine, forest",That gentleman is going to walk along the pine forest.,The gentleman walks in the forest.
58,"Oscar, be, bar",Oscar is at the bar.,"Oscar, be, bar"
59,"mom, mash, blender",Mom mashes with the blender.,mom mash blender
60,"Juan, cut, plant",Juan cut the plant.,Juan cut the plant
61,"Earth, be, round",The Earth is round.,Earth is round
62,"see, a, mole, in, autumn",I saw a mole in autumn.,A mole sees in the autumn.
63,"baby, play, parquet",The baby plays in the parquet.,baby play on the parquet
64,"go, to, Moon",I want to go to the Moon.,go to the moon
65,"Santa, go, sleigh, with, reindeers",Santa goes in sleigh with reindeers.,Santa goes with reindeers on a sleigh
66,"dog, have, puppies",The dog had puppies.,The dog has puppies
67,"kids, play, park",The kids play in the park.,kids play in the park
68,"girl, carry, an, umbrella",The girl is carrying an umbrella.,girl carry an umbrella
69,"boy, climb, rocks",The boy climbs on the rocks.,boy climbs rocks
70,"sleep, bed",I sleep in the bed.,I sleep in the bed.
71,"girl, drink, glass",The girl drinks in the glass.,girl drink glass
72,"boy, float, churro",The boy floats with the churro.,boy floats on churro
73,"girl, swim, indoor, pool",The girl swims in the indoor pool.,The girl swims in the pool
74,"Snow White, run, forest",Snow White runs to the forest.,
75,"dad, read, a, story, to, girl",Dad reads a story to the girl in bed.,dad read a story to girl
76,"pee, toilet",I pee on the toilet.,Pee on the toilet
77,"hen, lay, golden, eggs",The hen laid golden eggs.,Hen lays golden eggs
78,"girl, clap, her, feet",The girl claps with her feet.,girl clap her feet
79,"Three Wise Men, go, a, camel",The Three Wise Men go on a camel.,Three wise men go a camel
80,"where, you, go, Little Red Riding Hood, ?",Where are you going Little Red Riding Hood?,Little Red Riding Hood went to the woods to see her grandmother.
81,"wolf, lick, thinking, about, kids",The wolf licked thinking about the kids.,Wolf licks thinking about kids
82,"wolf, lie, bed",The wolf lies on the bed.,The wolf lies in bed.
83,"Goldilocks, sleep, small, bed",Goldilocks sleeps in the small bed.,Goldilocks sleeps in a small bed
84,"lizard, be, washing, machine",The lizard is in the washing machine.,The lizard was washing the machine.
85,"girl, write, sand",The girl writes on the sand.,girl writes sand
86,"plane, fly, clouds",The plane flies over the clouds.,I fly to the plane in the clouds
87,"stepmother, let, Cinderella, go, party, not",The stepmother does not let Cinderella go to the party.,Let Cinderella go to the party not with her stepmother
88,"child, go, slide",The child goes down the slide.,child go slide
89,"red, plane, fly, clouds",The red plane flies up the clouds.,The red plane flies to the clouds
90,"they, have, an, old, cow",They had an old cow.,They have an old cow
91,"only, cow, study",Only the cow studied.,only cow study
92,"we, see, little, donkey, on, Palm Sunday",On Palm Sunday we will see the little donkey.,We see little donkey on Palm Sunday
93,"Juan, change, cow, for, magic, beans",Juan changed the cow for magic beans.,Juan changed the cow for magic beans
94,"Goldilocks, sleep, bed",Goldilocks sleeps in bed.,Goldilocks sleeps in the bed
95,"bag, of, fruit, be, broken",The bag of fruit has been broken.,The bag of fruit is broken
96,"sleep, night",I sleep at night.,sleep at night
97,"all, children, be, scared",All the children were scared.,All children be scared
98,"women, wear, mantillas",The women are dressed in mantillas.,Women wear mantillas
99,"goblin, paint, snail's house, yellow",The goblin painted the snail's house yellow.,The snail's house is yellow.
100,"cat, sleep, top, of, guitar",The cat sleeps on top of the guitar.,cat sleeps on top of guitar
101,"girl, sit, stairs",The girl is sitting on the stairs.,girl sits on the stairs
102,"girl, sit, a, rock",The girl is sitting on a rock.,girl sits on a rock
103,"wolf, knock, door",The wolf knocked on the door.,wolf knocks door
104,"play, park, with, boar",I play in the park with the boar.,play with a boar in a park
105,"book, case, be, oven",The book and the case are inside the oven.,book case be oven
106,"girl, swim, pool",The girl swims in the pool.,girl swim in the pool
107,"mom, goat, buy",Mom goat is going to buy.,mom goat buy
108,"bathe, bathtub",I bathe in the bathtub.,The bathtub is full of water.
109,"Juan, take, hen, magic, harp",Juan took away the hen and the magic harp.,Juan takes a hen to the magic harp
110,"who, prettiest, be, ?",Who is the prettiest?,Who is the prettiest of the be?
111,"salt, fall, tablecloth",Salt fell on the tablecloth.,The salt fell on the tablecloth
112,"children, paint, a, blue, pencil, on, paper",Children paint with a blue pencil on white paper.,The children paint a blue pencil on paper
113,"Eskimo, live, an, igloo",The Eskimo lives in an igloo.,Eskimos live in igloos
114,"girl, sit, rock",The girl is sitting on the rock.,girl sits on rock
115,"Little Red Riding Hood, grandma, be, happy",Little Red Riding Hood and Grandma were happy.,Little Red Riding Hood be happy with grandma
116,"two, cars, collide, sky",Two cars collide in the sky.,Two cars collide in the sky.
