,lemmas,real phrases,generated phrases
0,"alcalde, no, querer, pagar, flautista",El alcalde no quiso pagar al flautista.,El flautista no quiere pagar al alcalde
1,"caer, sal, a, mantel",Cayó sal al mantel.,"El sapo cayó en el mantelero
Traducido: El sapo cayó en el mantelero"
2,"ogro, se, ir",El ogro se fue.,"El ogro se ir
Traducido: El ogro se ir
Traducido en inglés: El ogro se ir
Traducido en español: El ogro"
3,"cabritillos, ser, feliz",Los cabritillos fueron felices.,"Los cabritillos son feliz
Traducido: Los cabritillos son feliz
Palabra clave: feliz
Palabra clave: cabritillos
Palabra clave:"
4,"lobo, querer, comer, lo",El lobo quiere comerlos.,"El lobo quiere comer lo
Traducido: El lobo quiere comer lo
Traducido: El lobo quiere comer lo
Traducido: El lobo quiere comer lo
"
5,"Reyes, mago, ir, camello",Los Reyes magos van en camello.,"El mago reyes al camello
Traducido: El mago reyes al camello
Traducción: El mago reyes al camello
"
6,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse,"El caracol no sabe como vestir
"
7,"tomar, este, tomate",Toma este tomate.,"Este tomate toma
Palabra: tomate
"
8,"pájaro, nadar, por, mar",El pájaro nada por el mar.,El pájaro nadó por el mar
9,"qué, llevar, cesta, ?",¿Qué llevas en la cesta?,¿Qué lleva la cesta?
10,"domingo, de, ramos, ir, ver, borriquita",El domingo de ramos vamos a ver la borriquita.,"La borriquita va a domingo a laramar
Traducion: La pequeña borriquita va a domingo a la mar"
11,"lobo, querer, comer, lo",El lobo quiere comerlo.,"El lobo quiere comer lo
Traducido: El lobo quiere comer lo
Traducido: El lobo quiere comer lo
Traducido: El lobo quiere comer lo
"
12,"gato, mirar, pez",El gato mira el pez.,"El gato mira pez
Traducción: El gato mira pez
Palabra clave: pez
Palabra clave: El
Palabra clave: gato
Palabra clave: mirar
Palabra"
13,"caracol, se, poner, triste",El caracol se puso triste.,El caracol se puso triste
14,"niños, saltar, cama",Los niños saltan en la cama.,Los niños saltaron en la cama
15,"ogro, tener, un, gallina, mágico",El ogro tenía una gallina mágica.,El pollo tiene un magico
16,"dos, coches, chocar, cielo",Dos coches chocan en el cielo.,Los dos coches chocan en el cielo
17,"Juan, su, mamá, vivir, feliz",Juan y su mamá vivieron felices.,"Juan vive feliz con su mamá
Traducido: Juan vive feliz con su mamá"
18,"niños, jugar, parque",Los niños juegan en el parque.,Los niños juegan en el parque
19,"papá, comprar, supermercado",El papá compra en el supermercado.,El papá compra en el supermercado
20,"lechera, ser, niña, alegre, soñador",La lechera era una niña alegre y soñadora.,"La niña alegre soña con la lechera
Palabra clave: niña
Palabra clave: alegre
Palabra clave: soña
Palabra clave"
21,"su, madre, la, encontrar, llorar",Su madre la encontró llorando.,Su madre encuentra a niño
22,"niña, subir, escalera",La niña sube a la escalera.,"La niña sube a escalera
Traducción: La niña sube a escalera"
23,"burro, caer, barro",La burra cayó al barro.,El burro cae en el barro
24,"quién, ser, más, guapo, ?",¿quién es la más guapa?,¿Quién es más guapo?
25,"lobo, ir, molino",El lobo va al molino.,"El lobo va a molino
Traducción: El lobo va a molino
Palabra clave: lobo
Palabra clave: ir
Palabra clave: molino"
26,"ser, ver, te, bien",Son para verte bien.,"Ser ver bien
Lemmas: ser, ver, bien
"
27,"este, ser, tres, cerditos",Estos son los tres cerditos.,
28,"yo, jugar, parque, con, niños",Yo juego en el parque con los niños.,"Yo jugar en el parque con niños
Traducido: Yo jugar en el parque con niños
Traducido en inglés: I play in the parque con niños
"
29,"papá, oso, coger, plato, grande",Papá oso coge el plato grande.,"El oso cogió el plato grande
Palabra: El
Objeto: oso
Adjetivo: grande
Verbo: cogió
Objeto: plato
Adjetivo"
30,"cabritillos, no, abrir, puerta",Los cabritillos no abren la puerta.,"Los cabritillos no abren la puerta
Traducción: Los cabritillos no abren la puerta"
31,"niño, montar, en, cerdo",El niño monta en el cerdo.,El niño monta en la cerdo
32,"perro, pasear, collar",El perro pasea con el collar.,"El perro pasea por el collar
Traducción: El perro pasea por el collar"
33,"Ricitos, de, Oro, estar, cansadi",Ricitos de Oro está cansada.,"Ricitos de oro estar cansadi
Traducción: Los ricitos de oro están cansados"
34,"yo, me, bañar, agua, con, jabón",Yo me baño con agua y con jabón.,Yo me bañar con agua en el jabón
35,"tren, ir, carretera",El tren va por la carretera.,El tren va por la carretera
36,"niño, se, subir, rocas",El niño se sube a las rocas.,"El niño se sube a roca
Traducido: El niño se sube a roca
Traducido en inglés: The boy climbs a rock
Traducido en español:"
37,"chica, merendar, bocadillo, chorizo, leche",La chica merienda bocadillo de chorizo y leche.,La niña merenda con un bocadillo de chorizo
38,"Imanol, ir, hotel",Imanol va al hotel.,"Imanol va al hotel
Traducir: El niño va al hotel
Traducir: El niño va al hotel
Traducir: El niño va al hotel
Traducir: El"
39,"Luis, estar, un, poco, loco",Luis está un poco loco.,"Luis está un poco loco
Traducido: Luis está un poco loco
Palabra clave: Luis
Palabra clave: está
Palabra clave: un
"
40,"cerdito, ir, jugar",El cerdito va a jugar.,"El perro está jugando
Lemmas: perro, está, jugar
"
41,"tener, pata, blanco, como, mamá",Tiene la pata blanca como mamá.,"Como tiene una pata blanca, mamá
"
42,"niño, mirar, mariposa, con, lupa",El niño mira la mariposa con la lupa.,"El niño mira a mariposa con una lupa
Traducido: El niño mira a mariposa con una lupa"
43,"niño, escuchar, gato",El niño escucha el gato.,"El niño escucha al gato
Traducido: El niño escucha al gato
Traducido en inglés: El niño escucha al gato
Traducido en español: El niño escucha al"
44,"caballo, correr, mar",El caballo corre en el mar.,El caballo corre en el mar
45,"vaca, querer, estudiar, escuela",La vaca quería estudiar en la escuela.,"Los niños quieren estudiar en la escuela
Traducción: Los niños quieren estudiar en la escuela"
46,"papá, nadar, piscina",Papá nada en la piscina.,El papá nadó en la piscina
47,"Blancanieves, correr, bosque",Blancanieves corre al bosque.,"Los Blancanieves corren por el bosque
Traducción: Los Blancanieves corren por el bosque
Palabra clave: correr
Palabra clave: bosque
Pal"
48,"burro, saludar, ratita",El burro saluda a la ratita.,"El burro saludó a ratita
Traducción: El burro saludó a ratita"
49,"tren, ir, mar",El tren va por el mar.,"El tren va a mar
Traducir: El tren va a mar
Traducir: El tren va a mar
Traducir: El tren va a mar
Traducir: El tren"
50,"Dorita, vivir, un, granja, con, su, tíos, su, perrito, Totó",Dorita vivía en una granja con sus tíos y su perrito Totó.,"Dorita vive en una granja con sus tíos y su perrito Totó
Traducido"
51,"abuelita, qué, ojos, grande, tener",Abuelita qué ojos grandes tienes.,"La abuelita tiene grandes ojos
"
52,"bebé, jugar, parquet",El bebé juega en el parquet.,"El bebé juega en el parque
Traducido: El bebé juega en el parque
Palabra clave: jugar
Palabra clave: parque
Palabra clave: bebé
Palabra"
53,"niña, nadar, biblioteca",La niña nada en la biblioteca.,La niña nadó en la biblioteca
54,"niño, jugar, con, barco",El niño juega con el barco.,El niño juega con el barco
55,"Juan, cambiar, vaca, por, habichuelas, mágico",Juan cambió la vaca por habichuelas mágicas.,"Juan cambia la vaca por las habichuelas del mago
Traducido: Juan cambia la vaca por las habichuelas del mago"
56,"gato, dormir, encima, guitarra",El gato duerme encima de la guitarra.,"El gato dormido encima de la guitarra
Traducido: El gato dormido encima de la guitarra
Traducido en inglés: El gato dormido encima de la guitarra"
57,"niños, jugar, construcciones",Los niños juegan con las construcciones.,"Los niños construyen casas
Traducido: Los niños construyen casas"
58,"niños, jugar, con, pelota",Los niños juegan con la pelota.,Los niños juegan con la pelota
59,"bola, ser, como, pelota",La bola es como una pelota.,La pelota es como una bola
60,"mamá, pato, pasear, su, hijos",Mamá pato paseaba con sus hijos.,mamá pasea con sus hijos
61,"ogro, se, caer",El ogro se cayó.,El ogro se cae
62,"cerditos, no, tener, dónde, esconder, se",Los cerditos no tienen dónde esconderse.,Los cerditos no tienen dónde esconderse
63,"rana, subir, rama",La rana subió a la rama.,La raña sube por la rama
64,"gato, comer, ratatita",El gato come a la ratita.,"El gato come a ratita
"
65,"quién, ser, más, guapo, ?",¿Quién es la más guapa?,¿Quién será más guapo?
66,"gallina, poner, huevos, de, oro",La gallina ponía huevos de oro.,La gallina pone huevos de oro
67,"niña, jugar, con, piedras",La niña juega con las piedras.,La niña juega con piedras
68,"maleta, estar, en, salón",La maleta está en el salón.,La maleta está en el salón
69,"niño, pasear, calle",El niño pasea por la calle.,El niño pasea por la calle
70,"solo, estudiar, vaca",Solo estudiaba la vaca.,"Solo estudiar la vaca
Phrase en inglés: Solo estudiar la vaca"
71,"niño, mirar, estrellas, con, telescopio",El niño mira las estrellas con el telescopio.,El niño mira las estrellas con telescopio
72,"tener, un, vaca, viejo",Tenían una vaca vieja.,Un viejo tiene una vaca
73,"niña, escribir, con, lápiz, en, papel",La niña escribe con un lápiz en el papel.,La niña escribe con lápiz en papel
74,"ruiseñor, cantar, rama",El ruiseñor canta en la rama.,El ruiseñor canta en la rama
75,"niña, entrar, tren",La niña entra al tren.,La niña entra en el tren
76,"arpa, producir, diamantes",El arpa produjo diamantes.,La arpa produce diamantes
77,"niñas, correr, cometa",Las niñas corren con la cometa.,Las niñas corren con cometas
78,"lobo, dormir",El lobo dormía.,El lobo duerme
79,"niño, ir, panadería",Niño va a la panadería.,El niño va a panadería
80,"ir, casa, mío, abuela",Voy a casa mi de abuela.,Ir a casa de mi abuela
81,"a, dónde, ir, Caperucita",¿A dónde vas Caperucita?,"Caperucita va a dónde ir
"
82,"lobo, llamar, puerta",El lobo llamó a la puerta.,El lobo llama a la puerta
83,"Marcelina, salir, buscar, los",Marcelina sale a buscarlos.,Marcelina sale a buscar los lemas
84,"mamá, cortar, barriga, de, lobo",Mamá corta la barriga del lobo.,La mamá cortó la barriga del lobo
85,"querer, jugar, con, fuego",Yo quiero jugar con el fuego.,Quieres jugar con fuego
86,"dos, niños, correr, mucho",Los dos niños corren mucho.,Dos niños corren mucho
87,"ogro, bajar, planta",El ogro bajó por la planta.,El animal se bajó de la planta
88,"niña, llevar, paraguas",La niña lleva un paraguas.,La niña lleva un paraguas
89,"delfines, nadar, mar",Los delfines nadan en el mar.,Los delfines nadan en el mar
90,"gato, besar, ratita",El gato besa a la ratita.,El gato se besará con la ratita
91,"chica, nadar, en, piscina, cubierto",La chica nada en la piscina cubierta.,La chica nadó en la piscina cubierta
92,"niños, jugar, barco, tren",Los niños juegan con el barco y el tren.,Los niños juegan en el tren
93,"chicos, acabar, borrico",Los chicos acabaron borricos.,Los chicos acabarán con el borrico
94,"niña, beber, pajita",La niña bebe con la pajita.,La niña bebió con una pajita
95,"pez, nadar, mar",El pez nada en el mar.,El pez nadó en el mar
96,"gallina, poner, huevod, de, oro",La gallina puso huevos de oro.,La gallina pone huevos de oro
97,"mamá, le, comprar, muñeca, niño",La mamá le compra una muñeca a la niña.,"mamá le comprar muñeca a niño
"
98,"niños, ir, colegio, en, avión",Los niños van al colegio en avión.,Los niños van al colegio en avión
99,"loro, mirar, caracol",El loro mira al caracol.,Los caracoles miran
100,"niña, estar, sentado, escaleras",La niña está sentada en las escaleras.,La niña está sentada en la escalera
101,"gatos, dormir, debajo, árboles",Los gatos duermen debajo de los árboles.,Los gatos duermen debajo de los árboles
102,"osito, coger, plato, pequeño",El osito coge el plato pequeño.,El osito cogió un plato pequeño
103,"me, picar, nariz, oreja",Me pica la nariz y la oreja.,"Me picar la oreja
"
104,"yo, bañar, en, bañera",Yo me baño en la bañera.,Yo bañar en una bañera
105,"dinero, estar, monedero",El dinero está en el monedero.,El dinero está en el monedero
106,"esquimal, vivir, en, cabaña",El esquimal vive en una cabaña.,El esquimal vive en cabaña
107,"niños, jugar, nieve",Los niños juegan con la nieve.,Los niños juegan en el nieve
108,"tenedor, estar, comedor",El tenedor está en el comedor.,El tenedor está comiendo
109,"Marina, ser, bailarín",Marina es bailarina.,Marina es un bailarín
110,"niño, dormir, osito",El niño duerme con el osito.,El niño duerme con el osito
111,"mariposa, se, poner, furioso",La mariposa se puso furiosa.,La mariposa se pone furiosa
112,"me, gustar, pandereta",Me gusta la pandereta.,Me gusta la pandereta
113,"mamá, bañar, bebé",La mamá baña al bebé.,Mamá baña al bebé
114,"casa, paja, se, romper",La casa de paja se rompe.,La casa de paja se rompe
115,"cabritillos, abrir, puerta",Los cabritillos abren la puerta.,Los cabritillos abren la puerta
116,"abuela, estar, armario",La abuela está en el armario.,La abuela está en el armario
117,"ser, para, oir, te, bien",Son para oirte bien.,Ser para oir te bien
118,"lagarto, estar, lavadora",El lagarto está en la lavadora.,El lagarto está en la lavadora
119,"coger, tapón, de, botella",Coge el tapón de la botella.,El niño cogió el tapón de la botella
120,"perro, gato, ser, pequeñitos",El perro y el gato son pequeñitos.,Los perritos son pequeñitos
121,"tres, osos, volver, casa",Los tres osos vuelven a casa.,Tres osos volver a casa
122,"yo, querer, ir, Luna",Yo quiero ir a la Luna.,Yo quiero ir a la luna
123,"Nora, ser, moreno",Nora es morena.,Nora es una niña muy morena
124,"niña, hablar, teléfono",La niña habla por teléfono.,La niña habla por teléfono
125,"abejas, volar, alrededor, flor, rosa",Las abejas vuelan alrededor de la flor rosa.,Las abejas vuela alrededor de la rosa
126,"rey, ser, de, rusia",Ese rey es de rusia.,"El rey de Rusia ser
"
127,"niña, beber, vaso",La niña bebe en el vaso.,
128,"tortuga, nadar, mar",La tortuga nada en el mar.,La tortuga nadó en el mar
129,"yo, dormir, cama",Yo duermo en la cama.,Yo duermo en la cama
130,"ovejas, tener, mucho, lana",Las ovejas tienen mucha lana.,Las ovejas tienen mucho lana
131,"mirar, hilo, con, lupa",Miro el hilo con la lupa.,El niño mira el hilo con la lupa
132,"todo, niños, se, asustar",Todos los niños se asustaron.,Todos los niños se asustaron
133,"niña, jugar, fichas",La niña juega con las fichas.,La niña juega con las fichas
134,"yo, hacer, pis, en, váter",Yo hago pis en el váter.,Yo hago pis en váter
135,"pingüinos, patinar, nieve, con, gorros, bufandas",Los pingüinos patinan en la nieve con gorros y bufandas.,Los pingüinos patinan en la nieve con gorros y bufandas
136,"niño, beber, botella",El niño bebe en la botella.,El niño bebo de la botella
137,"niños, pintar, con, lapiz, en, papel, blanco",Los niños pintan con un lapiz azul en papel blanco.,
138,"niña, jugar, con, agua",La niña juega con el agua.,La niña juega con agua
139,"lobo, querer, comer, cabritillos",El lobo quiere comer a los cabritillos.,El lobo quiere comer cabritillos
140,"perro, ver, ratita",El perro ve a la ratita.,El perro ve a ratita
141,"caracol, subir, árbol",El caracol sube al árbol.,
142,"ratita, encontrar, un, moneda",La ratita encuentra una moneda.,
143,"pescador, estar, en, mar",El pescador está en el mar.,El pescador está en el mar
144,"niña, tener, mano, pintado",La niña tiene las manos pintadas.,La niña tiene una mano pintada
145,"niña, estar, sentado, en, un, sillón, rojo",La niña está sentada en un sillón rojo.,
146,"Ricitos, de, Oro, entrar, un, casa",Ricitos de Oro entra en una casa.,Ricitos de oro entran a casa
147,"niños, aprender, en, colegio",Los niños aprenden en el colegio.,Los niños aprenden en el colegio
148,"pez, nadar, bañera",El pez nada en la bañera.,El pez nadó en la bañera
149,"niña, escribir, arena",La niña escribe en la arena.,La niña escribe en la arena
150,"Marcelina, estar, montar, belén, en, su, casa",Marcelina está montando el belén en su casa.,
