alpha,r,bleu,comet
32,8,0.46548310508508756,0.8343440341538396
32,16,0.45720683247323507,0.8668001698008899
32,32,0.46714658236113954,0.8708225803128604
32,64,0.44797946329054084,0.8580452708334758
32,128,0.47147289213271804,0.8524689825444386
64,8,0.5107425157086319,0.8573798296780422
64,16,0.5361494301116051,0.8885735127432594
64,32,0.5478163091321084,0.8871227718632797
64,64,0.5558659804051381,0.8936139289675088
64,128,0.5685334637959824,0.8957733010796651
128,8,0.5429901141760558,0.894985309859802
128,16,0.5769198473466184,0.9004296043823505
128,32,0.5931747056215334,0.9082854398365678
128,64,0.6108363801989323,0.9063104651097593
128,128,0.5929852888928692,0.8983492359620373
