,lemmas,real phrases,generated phrases
0,"alcalde, no, querer, pagar, flautista",El alcalde no quiso pagar al flautista.,El alcalde no quiere pagar a flautista.
1,"caer, sal, a, mantel",Cayó sal al mantel.,El sal cayó en el mantel.
2,"ogro, se, ir",El ogro se fue.,El ogro se ir.
3,"cabritillos, ser, feliz",Los cabritillos fueron felices.,Los cabritillos son muy felices.
4,"lobo, querer, comer, lo",El lobo quiere comerlos.,El lobo quiere comer lo
5,"Reyes, mago, ir, camello",Los Reyes magos van en camello.,El rey va a camello
6,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse,El caracol no sabe como vestirse.
7,"tomar, este, tomate",Toma este tomate.,Tomar este tomate
8,"pájaro, nadar, por, mar",El pájaro nada por el mar.,El pájaro nadó por el mar.
9,"qué, llevar, cesta, ?",¿Qué llevas en la cesta?,¿Qué lleva la cesta?
10,"domingo, de, ramos, ir, ver, borriquita",El domingo de ramos vamos a ver la borriquita.,El domingo de los ramos ir a ver a borriquita
11,"lobo, querer, comer, lo",El lobo quiere comerlo.,El lobo quiere comer lo
12,"gato, mirar, pez",El gato mira el pez.,El gato mira al pez
13,"caracol, se, poner, triste",El caracol se puso triste.,El caracol se puso triste.
14,"niños, saltar, cama",Los niños saltan en la cama.,Los niños saltaron a la cama.
15,"ogro, tener, un, gallina, mágico",El ogro tenía una gallina mágica.,"El ogro tiene un gallina, los magicos."
16,"dos, coches, chocar, cielo",Dos coches chocan en el cielo.,Los dos coches chocaron en el cielo.
17,"Juan, su, mamá, vivir, feliz",Juan y su mamá vivieron felices.,Juan vive feliz con su mamá.
18,"niños, jugar, parque",Los niños juegan en el parque.,Los niños van al parque a jugar.
19,"papá, comprar, supermercado",El papá compra en el supermercado.,El papá va al supermercado a comprar.
20,"lechera, ser, niña, alegre, soñador",La lechera era una niña alegre y soñadora.,La niña alegre soñó con la lechera
21,"su, madre, la, encontrar, llorar",Su madre la encontró llorando.,Su madre la encontrar llorar.
22,"niña, subir, escalera",La niña sube a la escalera.,La niña subio a escalera.
23,"burro, caer, barro",La burra cayó al barro.,El burro cayó en el barro.
24,"quién, ser, más, guapo, ?",¿quién es la más guapa?,"El guapo más que es, quién?"
25,"lobo, ir, molino",El lobo va al molino.,El lobo va al molino.
26,"ser, ver, te, bien",Son para verte bien.,"Te, bien, ver, ser
Phrase:
Ser, bien, ver, te
Phrase:
Te, bien, ver, ser
Phrase:
Ser"
27,"este, ser, tres, cerditos",Estos son los tres cerditos.,El ser tres cerditos.
28,"yo, jugar, parque, con, niños",Yo juego en el parque con los niños.,Yo jugar en el parque con los niños.
29,"papá, oso, coger, plato, grande",Papá oso coge el plato grande.,El oso cogió el plato grande.
30,"cabritillos, no, abrir, puerta",Los cabritillos no abren la puerta.,Los cabritillos no abren la puerta.
31,"niño, montar, en, cerdo",El niño monta en el cerdo.,El niño monta en la cerdo.
32,"perro, pasear, collar",El perro pasea con el collar.,El perro pasear con el collar.
33,"Ricitos, de, Oro, estar, cansadi",Ricitos de Oro está cansada.,Ricitos de Oro estar cansadi
34,"yo, me, bañar, agua, con, jabón",Yo me baño con agua y con jabón.,Yo me bañar con el jabón.
35,"tren, ir, carretera",El tren va por la carretera.,El tren va por la carretera.
36,"niño, se, subir, rocas",El niño se sube a las rocas.,El niño se subio a rocas
37,"chica, merendar, bocadillo, chorizo, leche",La chica merienda bocadillo de chorizo y leche.,La chica merenda un bocadillo de chorizo con leche.
38,"Imanol, ir, hotel",Imanol va al hotel.,Imanol va al hotel
39,"Luis, estar, un, poco, loco",Luis está un poco loco.,Luis está un poco loco.
40,"cerdito, ir, jugar",El cerdito va a jugar.,El cerdito va a jugar.
41,"tener, pata, blanco, como, mamá",Tiene la pata blanca como mamá.,La mamá tiene una pata blanca como.
42,"niño, mirar, mariposa, con, lupa",El niño mira la mariposa con la lupa.,El niño mira a mariposa con una lupa.
43,"niño, escuchar, gato",El niño escucha el gato.,El niño escucha al gato.
44,"caballo, correr, mar",El caballo corre en el mar.,El caballo corre por el mar.
45,"vaca, querer, estudiar, escuela",La vaca quería estudiar en la escuela.,Las vacas quieren estudiar en la escuela.
46,"papá, nadar, piscina",Papá nada en la piscina.,El papá nadó en la piscina.
47,"Blancanieves, correr, bosque",Blancanieves corre al bosque.,La niña blanca corrió por el bosque.
48,"burro, saludar, ratita",El burro saluda a la ratita.,El burro saludó a ratita
49,"tren, ir, mar",El tren va por el mar.,El tren va al mar.
50,"Dorita, vivir, un, granja, con, su, tíos, su, perrito, Totó",Dorita vivía en una granja con sus tíos y su perrito Totó.,"Dorita vive en la granja con su perrito, Totó"
51,"abuelita, qué, ojos, grande, tener",Abuelita qué ojos grandes tienes.,La abuelita tiene grandes ojos.
52,"bebé, jugar, parquet",El bebé juega en el parquet.,El bebé está jugando en el parque.
53,"niña, nadar, biblioteca",La niña nada en la biblioteca.,La niña nadó en la biblioteca.
54,"niño, jugar, con, barco",El niño juega con el barco.,El niño juega con el barco.
55,"Juan, cambiar, vaca, por, habichuelas, mágico",Juan cambió la vaca por habichuelas mágicas.,
