lemmas,real phrases,generated phrases
"wolf, eat, them",The wolf wants to eat them,wolf eat them
"children, go, school, by, plane",Children go to school by plane,children go to school
"baby, walk, car",The baby walks in the car,baby + walk = baby walk
"Juan, find, a, castle",Juan found a castle,"Juan, find, a, castle, where, Juan, can, rest"
"dog, walk, collar",The dog walks with the collar,dog + walk + collar
"want, to, go, bathroom",I want to go to the bathroom,"want
         to
         go
         bathroom
        ."
"cow, want, to, study, school",The cow wanted to study at school,cow want to study school
"book, case, be, bag",The book and the case are in the bag,"bag
         case
         be
         book
         bag"
"little, goat, be, clock",The little goat is in the clock,"Lemmas: little, goat, be, clock
         Phrase:"
"parrot, look, snail",The parrot looks at the snail,"parrot
         look
         snail"
"kids, be, happy",The kids were happy,be happy
"girl, listen, music",The girl listens to music,"2nd
         + 2nd
         + 2"
"bird, swim, sea",The bird swims in the sea,"bird
         swim
         sea"
"pig, live, farm",The pig lives on the farm,pig live farm
"girls, run, kite",Girls run with the kite,"0, 0, 0, 0"
