,r,alpha,bleu,comet
0,16,8,0.5757083335002064,0.9046157191242028
1,16,16,0.5927570858997752,0.9078586886371423
2,16,32,0.61842639522432,0.9085672948155468
3,32,16,0.5897455896345554,0.9110084182806144
4,32,32,0.5914894827655715,0.9039750869187834
5,32,64,0.6222396297115801,0.9111546021780816
6,64,32,0.6049795096752265,0.9085866246557883
7,64,64,0.6180169604609614,0.9086849454840923
8,64,128,0.6341617991833707,0.9084683830651762
9,128,64,0.6351330280644446,0.9080781231368829
10,128,128,0.6353145688335733,0.9102126254754908
11,128,256,0.6349789331998918,0.9125108509851257
12,256,128,0.6168886382118659,0.9056843726883107
13,256,256,0.6298303951126667,0.9101363030763773
14,256,512,0.5720173077500751,0.8767685438443094
