lemmas,real phrases,generated phrases
"alcalde, no, querer, pagar, flautista",El alcalde no quiso pagar al flautista,El alcalde no quiere pagar al flautista
"caer, sal, a, mantel",Cayó sal al mantel,El mantel cae a la sal
"ogro, se, ir",El ogro se fue,El ogro se va
"cabritillos, ser, feliz",Los cabritillos fueron felices,"Los cabritillos son felices
"
"lobo, querer, comer, lo",El lobo quiere comerlos,Lo que el lobo quiere comer es un cerdo
"Reyes, mago, ir, camello",Los Reyes magos van en camello,Reyes va a ir en el camello del mago
"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse,El caracol Ramó no sabe como vestir se
"tomar, este, tomate",Toma este tomate,El niño toma este tomate
"pájaro, nadar, por, mar",El pájaro nada por el mar,El pájaro nade por el mar
"qué, llevar, cesta, ?",¿Qué llevas en la cesta?,¿Qué lleva la cesta?
"domingo, de, ramos, ir, ver, borriquita",El domingo de ramos vamos a ver la borriquita,El domingo vamos a ver la borriquita de los ramos
"gato, mirar, pez",El gato mira el pez,El gato mira el pez
"caracol, se, poner, triste",El caracol se puso triste,El caracol se pone triste
"niños, saltar, cama",Los niños saltan en la cama,Los niños saltan de la cama
"ogro, tener, un, gallina, mágico",El ogro tenía una gallina mágica,El ogro tiene un gallina mágico
