,lemmas,real phrases,generated phrases
0,"niño, escribir, ventana, con, dedo",El niño escribe en la ventana con el dedo.,El niño escribe en la ventana con el dedo.
1,"lobo, teñir, harina, su, patas",El lobo tiñó con harina sus patas.,El lobo teñía la harina a sus patas.
2,"pata, ser, negro, peludo",La pata es negra y peluda.,La pata es negra y peluda.
3,"gato, comer, ratatita",El gato come a la ratita.,El gato come a ratatita.
4,"Laura, Malena, ser, gemelo",Laura y Malena son gemelas.,Laura y Malena son gemelas.
5,"ser, ver, te, bien",Son para verte bien.,Me veo bien.
6,"niña, comprar, ropa, en, tienda, de, ropa",La niña compra ropa en la tienda de ropa.,La niña compra ropa en la tienda de ropa.
7,"gallina, poner, huevod, de, oro",La gallina puso huevos de oro.,La gallina puso un huevito de oro.
8,"chica, nadar, piscina, cubierta",La chica nada en la piscina cubierta.,La chica nada en la piscina cubierta.
9,"me, gustar, pandereta",Me gusta la pandereta.,Me gusta la pandereta.
10,"mamá, cabra, tener, siete, cabritillos",Mamá cabra tiene siete cabritillos.,La mamá cabra tiene siete cabritillos.
11,"Nora, ser, moreno",Nora es morena.,Nora es morena.
12,"lobo, ir, molino",El lobo va al molino.,El lobo fue al molino.
13,"me, gustar, churros, relleno",Me gustan los churros rellenos.,Me gustan los churros rellenos.
14,"yo, dormir, noche",Yo duermo por la noche.,Yo duermo en la noche.
15,"ese, señor, ir, pasear, a, pinar",Ese señor va a pasear al pinar.,Ese señor va a pasear por el pinar.
16,"yo, dormir, en, cama",Yo duermo en la cama.,Yo duermo en la cama.
17,"siete, cabritillos, jugar, contento",Los siete cabritillos juegan contentos.,Los siete cabritillos juegan contentos.
18,"arpa, producir, diamantes",El arpa produjo diamantes.,La arpa produce diamantes.
19,"niña, aplaudir, con, manos",La niña aplaude con las manos.,La niña aplaudía con las manos.
20,"cerdito, correr, rápido",El cerdito corre rápido.,El cerdito corre rápido.
21,"lobo, querer, comer, lo",El lobo quiere comerlos.,El lobo quiere comerlo.
22,"niños, jugar, parque",Los niños juegan en el parque.,Los niños juegan en el parque.
23,"Luis, estar, un, poco, loco",Luis está un poco loco.,Luis está un poco loco.
24,"ver, un, topo, en, otoño",Vi un topo en otoño.,Veo un topo en otoño.
25,"chica, merendar, bocadillo, chorizo, leche",La chica merienda bocadillo de chorizo y leche.,La chica merienda un bocadillo de chorizo con leche.
26,"Rosa, ser, rubio",Rosa es rubia.,Rosa se puso rubia.
27,"niña, estar, sentado, en, roca",La niña está sentada en la roca.,La niña está sentada en una roca.
28,"ruiseñor, cantar, en, rama",El ruiseñor canta en la rama.,El ruiseñor canta en la rama.
29,"niños, jugar, corro",Los niños juegan al corro.,Los niños juegan al corro.
30,"chicos, acabar, borrico",Los chicos acabaron borricos.,Los chicos acabaron con el borrico.
31,"mamá, leer, niña",Mamá lee con la niña.,La mamá lee a la niña.
32,"todo, niños, se, asustar",Todos los niños se asustaron.,Todo los niños se asustaron.
33,"Pili, haber, meter, un, gol",Pili ha metido un gol.,Pili metió un gol.
34,"niño, le, dar, un, regalo, a, su, padre",El niño le da un regalo a su padre.,El niño le dio un regalo a su papá.
35,"yo, querer, ir, baño",Yo quiero ir al baño.,Yo quiero ir al baño.
36,"cerditos, correr, rápido",Los cerditos corren rápido.,Los cerditos corren rápido.
37,"querer, comer, melón, limón",Quiero comer melón y limón.,Quiero comer un melocotón limón.
38,"pájaro, nadar, mar",El pájaro nada por el mar.,El pájaro nada en el mar.
39,"caracol, subir, árbol",El caracol sube al árbol.,El caracol sube al árbol.
40,"bebé, jugar, parquet",El bebé juega en el parquet.,El bebé juega en el parquet.
41,"quién, ser, más, guapo, ?",¿quién es la más guapa?,Quién es el más guapo?
42,"niña, beber, con, pajita",La niña bebe con la pajita.,La niña bebió con la pajita.
43,"mayor, hacer, casa, piedra",El mayor hace una casa de piedra.,El mayor hizo una casa de piedra.
44,"pescador, estar, mar",El pescador está en el mar.,El pescador está en el mar.
45,"Marcelina, salir, buscar, los",Marcelina sale a buscarlos.,Marcelina salió a buscarlos.
46,"mamá, hacer, puré, con, batidora",Mamá hace puré con la batidora.,Mamá hace puré con la batidora.
47,"mamá, pato, pasear, su, hijos",Mamá pato paseaba con sus hijos.,La mamá pato pasea con sus hijos.
48,"Caperucita, se, entretener, coger, flores, para, abuelita",Caperucita se entretuvo cogiendo flores para la abuelita.,Caperucita se entretiene cogiendo flores para abuelita.
49,"mamá, bañar, bebé",La mamá baña al bebé.,Mamá baña al bebé.
50,"mamá, cortar, barriga, de, lobo",Mamá corta la barriga del lobo.,Mamá cortó la barriga del lobo.
51,"ratita, barrer, su, casita",La ratita barre su casita.,La ratita barría su casita.
52,"madrastra, no, dejar, ir, Cenicienta, a, fiesta",La madrastra no deja ir a Cenicienta a la fiesta.,La madrastra no dejó ir a la fiesta a Cenicienta.
53,"chico, nadar, río",El chico nada en el rio.,El chico nada en el río.
54,"niño, jugar, con, tren",El niño juega con el tren.,El niño juega con el tren.
55,"este, ser, Ricitos, de, Oro",Esta es Ricitos de Oro.,Este es Ricitos de Oro.
56,"mono, pensar, plátano",El mono piensa en un plátano.,El mono piensa en el plátano.
57,"tenedor, estar, comedor",El tenedor está en el comedor.,El tenedor está en el comedor.
58,"guitarra, estar, carro",La guitarra está en el carro.,La guitarra está en el carro..
59,"niña, jugar, fichas",La niña juega con las fichas.,La niña juega con las fichas.
60,"este, ser, tres, cerditos",Estos son los tres cerditos.,Este sería tres cerditos.
61,"tomar, este, tomate",Toma este tomate.,Tomo este tomate.
62,"tirar, ventana",Las tiró por la ventana.,El lobo tiró por la ventana..
63,"niña, entrar, tren",La niña entra al tren.,La niña entra en el tren.
64,"señor, Pondio, cuidar, animales",El señor Pondio cuida de los animals.,El señor Pondio cuida los animales.
65,"yo, me, bañar, agua, con, jabón",Yo me baño con agua y con jabón.,Yo me baño con el agua y el jabón.
66,"tren, ir, carretera",El tren va por la carretera.,El tren va por la carretera.
67,"niño, mirar, estrellas, con, telescopio",El niño mira las estrellas con el telescopio.,El niño mira las estrellas con el telescopio.
68,"niña, escuchar, música",La niña escucha música.,La niña escucha música.
69,"domingo, de, ramos, ir, ver, borriquita",El domingo de ramos vamos a ver la borriquita.,"El domingo de Ramos, iré a ver la borriquita."
70,"niño, se, subir, rocas",El niño se sube a las rocas.,El niño se sube a las rocas.
71,"esquimal, vivir, cabaña",El esquimal vive en una cabaña.,El esquimal vive en una cabaña..
72,"gato, besar, ratita",El gato besa a la ratita.,El gato besa a la ratita.
73,"yo, bañar, en, fregadero",Yo me baño en el fregadero.,Yo baño en el fregadero.
74,"niño, ir, panadería",Niño va a la panadería.,El niño va a la panadería.
75,"perra, tener, cachorros",La perra tuvo cachorros.,La perra tiene cachorros.
76,"niños, saltar, cama",Los niños saltan en la cama.,Los niños saltan en la cama.
77,"abuelita, qué, ojos, grande, tener",Abuelita qué ojos grandes tienes.,La abuelita tiene los ojos grandes.
78,"lobo, feroz, seguir, Caperucita",El lobo feroz siguió a Caperucita.,El lobo feroz sigue a Caperucita.
79,"avión, volar, encima, nubes",El avión vuela encima de las nubes.,El avión vuela encima de las nubes.
80,"dos, coche, chocar, en, cielo",Dos coches chocan en el cielo.,Dos coches chocan en el cielo.
81,"Marina, ser, bailarín",Marina es bailarina.,Marina es una bailarina.
82,"Ricitos, de, Oro, tener, pelo, rubio",Ricitos de Oro tiene el pelo rubio.,Ricitos de Oro tiene el pelo rubio.
83,"cerditos, vivir, feliz",Los cerditos viven felices.,Los cerditos viven felices.
84,"un, señora, viejecito, le, dar, un, borrador, mágico",Una señora viejecita les dio un borrador mágico.,Un señora viejecita le da un borrador mágico.
85,"pájaro, volar, cielo",El pájaro vuela por el cielo.,El pájaro vuela en el cielo..
86,"niño, jugar, pala, cubo",El niño juega con la pala y el cubo.,El niño juega con la pala de cubo.
87,"Reyes, mago, ir, camello",Los Reyes magos van en camello.,Los Reyes Magos van en camello.
88,"niña, llevar, paraguas",La niña lleva un paraguas.,La niña lleva un paraguas.
89,"libro, estuche, estar, dentro, mochila",El libro y el estuche están dentro de la mochila.,El libro y el estuche están dentro de la mochila.
90,"niño, ir, lanzar, un, bola, de, nieve",El niño va a lanzar una bola de nieve.,El niño va a lanzar una bola de nieve.
91,"Lolo, jugar, con, balón",Lolo juega con el balón.,Lolo juega con el balón.
92,"Tierra, ser, redondo",La Tierra es redonda.,La tierra es redonda.
93,"qué, llevar, cesta, ?",¿qué llevas en la cesta?,¿Qué llevas en la cesta?
94,"niños, jugar, pelota",Los niños juegan con la pelota.,Los niños juegan con la pelota.
95,"lobo, querer, comer, abuela",El lobo quiere comer a la abuela.,El lobo quiere comer a la abuela.
96,"papá, conducir, un, avestruz",Papá conduce una avestruz.,Papá conduce un avestruz.
97,"libélula, volar, lago",La libélula vuela en el lago.,La libélula vuela sobre el lago.
98,"loro, mirar, caracol",El loro mira al caracol.,El loro mira al caracol.
99,"bolsa, fruta, se, romper",La bolsa de la fruta se ha roto.,La bolsa de fruta se rompe.
100,"Enrique, me, regalar, un, ramo, de, rosas",Enrique me regaló un ramo de rosas.,Enrique me regala un ramo de rosas.
101,"casa, paja, romper",La casa de paja se rompe.,La casa de paja rompe.
102,"Juán, se, llevar, gallina, arpa, mágico",Juán se llevó la gallina y el arpa mágica.,Juan se lleva la gallina y el arpa mágico.
103,"osito, coger, plato, pequeño",El osito coge el plato pequeño.,El osito coge el plato pequeño.
104,"niño, escuchar, pájaro",El niño escucha el pájaro.,El niño escucha al pájaro.
105,"niño, nadar, en, piscina",El niño nada en la piscina.,El niño nada en la piscina.
106,"pez, nadar, mar",El pez nada en el mar.,El pez nada en el mar.
107,"bola, ser, como, pelota",La bola es como una pelota.,La bola es como una pelota.
108,"yo, dormir, en, lavadora",Yo duermo en la lavadora.,Yo duermo en la lavadora.
109,"amigos, de, bruja, lo, ver, bailar",Los amigos de la bruja lo vieron bailar.,Los amigos de la bruja lo verían bailar.
110,"ratita, guapo, te, querer, casar",Ratita guapa te quieres casar.,"La ratita es guapa, te la quiero casar."
111,"mariposa, se, poner, furioso",La mariposa se puso furiosa.,La mariposa se puso furiosa.
112,"caer, sal, a, mantel",Cayó sal al mantel.,Ellos caen sal a la mantel.
113,"niña, estar, sentado, en, un, sillón, rojo",La niña está sentada en un sillón rojo.,La niña está sentada en un sillón rojo.
114,"bebé, pasear, en coche",El bebé pasea en el coche.,El bebé pasea en el coche.
115,"perro, ver, ratita",El perro ve a la ratita.,El perro ve la ratita.
116,"pez, nadar, en, bañera",El pez nada en la bañera.,El pez nada en la bañera.
117,"mamá, meter, piedras, en, barriga",Mamá mete piedras en la barriga.,La mamá mete piedras en la barriga.
118,"niña, escribir, con, lápiz, en, papel",La niña escribe con un lápiz en el papel.,La niña escribe con lápiz en papel.
119,"cabritillos, abrir, puerta",Los cabritillos abren la puerta.,Los cabritillos abrieron la puerta.
120,"chico, comer, bocadillo, de, calamares, con, mayonesa",El chico come bocadillo de calamares con mayonesa.,El chico come un bocadillo de calamares con mayonesa.
121,"niños, jugar, barco, tren",Los niños juegan con el barco y el tren.,Los niños juegan con el barco y el tren.
122,"gallo, cantar, noche",El gallo canta por la noche.,El gallo canta por la noche.
123,"juan, bajar, planta",Juan bajó por la planta.,Juan baja de la planta.
124,"pintor, pinta, en, mantel",El pintor pinta en el mantel.,El pintor pinta en el mantel.
125,"jirafa, correr, en, selva",La jirafa corre en la selva.,La jirafa corre en la selva.
126,"esquimal, vivir, en, iglú",El esquimal vive en un iglú.,El esquimal vive en el iglú.
127,"perro, gato, ser, pequeñitos",El perro y el gato son pequeñitos.,El perro y el gato son pequeños.
128,"yo, jugar, parque, con, niños",Yo juego en el parque con los niños.,Yo juego al parque con los niños.
129,"abejas, volar, alrededor, flor, rosa",Las abejas vuelan alrededor de la flor rosa.,Las abejas vuelan alrededor de la flor de rosa.
130,"nña, montar, triciclo",La niña monta en el triciclo.,La nña monta el triciclo.
131,"María, ir, carnicería",María va a la carnicería.,María va a la carnicería.
132,"Juan, cambiar, vaca, por, habichuelas, mágico",Juan cambió la vaca por habichuelas mágicas.,Juan cambió la vaca por las habichuelas mágicas.
133,"mirar, hilo, con, lupa",Miro el hilo con la lupa.,Miro el hilo con la lupa.
134,"ratita, encontrar, un, moneda",La ratita encuentra una moneda.,La ratita encontró una moneda.
135,"me, gustar, filete, con, patatas",Me gusta el filete con patatas.,Me gusta el filete con patatas.
136,"gallina, poner, huevos, de, oro",La gallina ponía huevos de oro.,La gallina puso huevos de oro.
137,"delfines, tortuga, nadar, mar",Los delfines y la tortuga nadan en el mar.,Los delfines nadan en el mar.
138,"niña, hablar, teléfono",La niña habla por teléfono.,La niña habla por teléfono.
139,"mujer, coger, melocotones, de, árbol, con, su, cesto",La mujer coge melocotones del árbol con su cesto.,La mujer cogió los melocotones del árbol con su cesto.
140,"tren, ir, vía",El tren va por la vía.,El tren va por la vía.
141,"rana, subir, rama",La rana subió a la rama.,La rana sube por la rama.
